id,plate,well,id_acuigen,id_inpesca,id_dart,id_dart_rep,country,localy,pop,lat,lon,year,lengthcm,weightgr,sex,Otholits
j075,1,C10,31,1,2761765,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,2021,42,969.3,M,NA
j076,1,D10,34,4,2761766,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,2021,45,1184,F,NA
j077,1,E10,35,5,2761767,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,2021,46,1262.2,F,NA
j078,1,F10,36,6,2761768,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,2021,43,1084.8,M,NA
j079,1,G10,37,7,2761769,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,2021,52,1707.3,M,NA
j080,1,H10,38,8,2761770,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,2021,40,914.5,F,NA
j081,1,A11,39,9,2761771,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,2021,42,930.7,F,NA
j082,1,B11,40,10,2761772,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,2021,40,951.3,M,NA
j083,1,C11,41,11,2761773,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,2021,44,1073.7,M,NA
j084,1,D11,42,12,2761774,NA,Chile,Golfo de Arauco-Vesterveg,GAV,-36.48,-73.61,2021,41,953.8,F,NA
j085,1,E11,61,1,2761775,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,2021,41,1038.6,M,NA
j086,1,F11,64,4,2761776,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,2021,42,935.8,F,NA
j087,1,G11,65,5,2761777,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,2021,46,1167.5,M,NA
j088,1,H11,66,6,2761778,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,2021,39,845.3,F,NA
j089,1,A12,67,7,2761779,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,2021,44,1097.9,M,NA
j090,1,B12,71,11,2761780,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,2021,40,853.7,F,NA
j091,1,C12,72,12,2761781,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,2021,39,718.3,F,NA
j092,1,D12,73,13,2761782,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,2021,39,821.5,M,NA
j093,1,E12,74,14,2761783,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,2021,47,1391.1,F,NA
j094,1,F12,76,16,2761784,NA,Chile,Golfo de Arauco-Bucanero I,GAB,-33.61,-73.64,2021,40,885.9,M,NA
j095,2,A1,469.1,1,2871089,2870994,Chile,Golfo de Arauco-Rapa Nui,GAR,-38.08,-73.96,NA,43.5,1042.6,F,2
j096,2,B1,171,1,2871090,2870995,Chile,Golfo de Arauco-Rapa Nui,GAR,-36.46,-73.65,NA,46,1160,M,NA
j097,2,C1,389,1,2871091,2870996,Chile,Isla Mocha ,IMO,-38.33,-74.04,NA,37,606.7,M,1
j098,2,D1,429,1,2871092,2870997,Chile,Isla Mocha ,IMO,-38.85,-73.75,NA,45,1045.1,M,2
j099,2,E1,315,1,2871093,2870998,Chile,Niebla ,NBL,-39.84,-73.43,NA,33,431.7,M,1
